title_vina,PharmFit_score,Params
HIT102096288.pdbqt,1.16163,100
HIT104052531.pdbqt,1.16042,7.88167
HIT105360890.pdbqt,1.16041,100
HIT104754414.pdbqt,1.16018,100
HIT102563312.pdbqt,1.16012,100
HIT102736410.pdbqt,1.1596,100
HIT103453312.pdbqt,1.15949,100
HIT104601203.pdbqt,1.15896,100
HIT105871435.pdbqt,1.15857,100
HIT106878173.pdbqt,1.15826,100
HIT211490669.pdbqt,1.15823,100
HIT106352814.pdbqt,1.15745,100
HIT100732038.pdbqt,1.1574,100
HIT101134855.pdbqt,1.15726,100
HIT211688631.pdbqt,1.15666,100
HIT105906994.pdbqt,1.15607,100
HIT211489767.pdbqt,1.15429,100
HIT107307920.pdbqt,1.15413,4.74698
HIT100467931.pdbqt,1.15328,100
HIT100941592.pdbqt,1.15325,100
HIT102906101.pdbqt,1.15142,100
HIT104105377.pdbqt,1.15032,100
HIT100967012.pdbqt,1.14926,100
HIT103806553.pdbqt,1.14921,100
HIT107428861.pdbqt,1.14816,100
HIT211723792.pdbqt,1.14768,100
HIT107440075.pdbqt,1.1459,100
HIT102651857.pdbqt,1.14571,5.02831
HIT106677777.pdbqt,1.14482,100
HIT104414639.pdbqt,1.14473,100
HIT107008264.pdbqt,1.14284,100
HIT100782767.pdbqt,1.14089,100
HIT102090491.pdbqt,1.14047,100
HIT211467923.pdbqt,1.13858,100
HIT105910595.pdbqt,1.13703,100
HIT100142974.pdbqt,1.13608,100
HIT101973334.pdbqt,1.13551,100
HIT100760245.pdbqt,1.13513,100
HIT104045399.pdbqt,1.13472,100
HIT105951622.pdbqt,1.13374,100
HIT103125922.pdbqt,1.13222,100
HIT211502948.pdbqt,1.13096,100
HIT100411566.pdbqt,1.1303,4.99824
HIT101600207.pdbqt,1.12978,100
HIT103002421.pdbqt,1.12973,100
HIT100018045.pdbqt,1.12933,100
HIT102870813.pdbqt,1.12786,100
HIT101457256.pdbqt,1.12774,100
HIT103145434.pdbqt,1.12768,100
HIT105901724.pdbqt,1.12669,100
HIT105339932.pdbqt,1.12546,100
HIT101159251.pdbqt,1.12511,100
HIT106244380.pdbqt,1.12478,100
HIT106368622.pdbqt,1.12344,100
HIT100908235.pdbqt,1.12272,100
HIT103273121.pdbqt,1.12201,100
HIT100688312.pdbqt,1.12181,100
HIT104091555.pdbqt,1.12158,100
HIT107268400.pdbqt,1.12124,100
HIT104511716.pdbqt,1.12089,100
HIT104555994.pdbqt,1.11906,100
HIT105432575.pdbqt,1.11821,100
HIT104700142.pdbqt,1.11801,100
HIT100218743.pdbqt,1.11788,100
HIT105339889.pdbqt,1.11786,100
HIT100736445.pdbqt,1.11775,100
HIT101150316.pdbqt,1.11609,100
HIT104054829.pdbqt,1.11459,100
HIT106357265.pdbqt,1.11445,100
HIT107633981.pdbqt,1.11426,100
HIT105667902.pdbqt,1.11368,100
HIT105383746.pdbqt,1.11338,100
HIT107120164.pdbqt,1.11337,6.21471
HIT101321057.pdbqt,1.11331,100
HIT104413306.pdbqt,1.1128,2.8857
HIT105802613.pdbqt,1.11162,100
HIT106994793.pdbqt,1.11159,100
HIT103862342.pdbqt,1.11103,100
HIT106775243.pdbqt,1.11054,100
HIT100332057.pdbqt,1.11044,100
HIT104375512.pdbqt,1.11041,4.80869
HIT101797584.pdbqt,1.1103,100
HIT106492796.pdbqt,1.10947,100
HIT100249367.pdbqt,1.10818,100
HIT106773744.pdbqt,1.10684,100
HIT104656169.pdbqt,1.10583,100
HIT102750894.pdbqt,1.10557,100
HIT103578097.pdbqt,1.10308,100
HIT107638039.pdbqt,1.10303,100
HIT104597706.pdbqt,1.10146,100
HIT211353497.pdbqt,1.10116,100
HIT100267137.pdbqt,1.10087,100
HIT106138035.pdbqt,1.10039,100
HIT105563414.pdbqt,1.09982,100
HIT101713669.pdbqt,1.0994,100
HIT105613327.pdbqt,1.09913,100
HIT103845115.pdbqt,1.09894,100
HIT105018969.pdbqt,1.09887,100
HIT104690791.pdbqt,1.09846,100
HIT101057105.pdbqt,1.09674,100
HIT107002560.pdbqt,1.09547,100
HIT104509747.pdbqt,1.09498,100
HIT211688558.pdbqt,1.09489,100
HIT100703008.pdbqt,1.09446,100
HIT100293628.pdbqt,1.09237,100
HIT104025817.pdbqt,1.0914,100
HIT100074326.pdbqt,1.08968,100
HIT107575983.pdbqt,1.08883,100
HIT104091269.pdbqt,1.08848,100
HIT103470256.pdbqt,1.08764,100
HIT103053956.pdbqt,1.08764,5.84473
HIT107135738.pdbqt,1.08679,100
HIT107515239.pdbqt,1.08534,100
HIT211362320.pdbqt,1.08487,100
HIT103875695.pdbqt,1.08453,100
HIT211336624.pdbqt,1.08242,100
HIT105814640.pdbqt,1.08214,100
HIT105412130.pdbqt,1.08054,100
HIT100949400.pdbqt,1.07885,6.39791
HIT102600713.pdbqt,1.07852,100
HIT211492724.pdbqt,1.07839,100
HIT101242460.pdbqt,1.07822,100
HIT105769115.pdbqt,1.07719,100
HIT106147063.pdbqt,1.07561,100
HIT100418222.pdbqt,1.07355,100
HIT102291711.pdbqt,1.07314,100
HIT104508352.pdbqt,1.07265,100
HIT107519807.pdbqt,1.07247,100
HIT105465109.pdbqt,1.07031,100
HIT100581815.pdbqt,1.06984,100
HIT103242042.pdbqt,1.06969,100
HIT103399417.pdbqt,1.06877,100
HIT104722735.pdbqt,1.06804,100
HIT100524578.pdbqt,1.06674,100
HIT102839558.pdbqt,1.06656,100
HIT104541873.pdbqt,1.0661,100
HIT107434046.pdbqt,1.06608,100
HIT211260234.pdbqt,1.06576,100
HIT100182905.pdbqt,1.06431,100
HIT104798255.pdbqt,1.06331,100
HIT101616693.pdbqt,1.06285,100
HIT105929392.pdbqt,1.06275,100
HIT102002714.pdbqt,1.06195,100
HIT103150345.pdbqt,1.06109,100
HIT106473937.pdbqt,1.06098,100
HIT105551802.pdbqt,1.05926,100
HIT104048538.pdbqt,1.05926,100
HIT104884464.pdbqt,1.05906,7.12173
HIT101397436.pdbqt,1.05751,100
HIT106112047.pdbqt,1.05638,100
HIT100121769.pdbqt,1.05522,100
HIT102532749.pdbqt,1.05517,7.97433
HIT101404330.pdbqt,1.05359,100
HIT103289649.pdbqt,1.05344,100
HIT101364009.pdbqt,1.05297,100
HIT106271305.pdbqt,1.05248,100
HIT100890625.pdbqt,1.05224,100
HIT106729089.pdbqt,1.05194,100
HIT103688011.pdbqt,1.04919,100
HIT101842917.pdbqt,1.04898,100
HIT105464536.pdbqt,1.04728,100
HIT102665287.pdbqt,1.04295,100
HIT105293062.pdbqt,1.04222,100
HIT105283775.pdbqt,1.04183,100
HIT102532225.pdbqt,1.04176,100
HIT103169089.pdbqt,1.04115,100
HIT106310580.pdbqt,1.04056,100
HIT101428077.pdbqt,1.04036,100
HIT104107359.pdbqt,1.03986,100
HIT102006978.pdbqt,1.03924,100
HIT103221338.pdbqt,1.03845,100
HIT101410136.pdbqt,1.03637,100
HIT106117414.pdbqt,1.03574,100
HIT105833453.pdbqt,1.03402,100
HIT102233377.pdbqt,1.03351,100
HIT100944118.pdbqt,1.03297,100
HIT100749559.pdbqt,1.03256,100
HIT102701472.pdbqt,1.03193,7.26928
HIT100034939.pdbqt,1.03163,100
HIT101113603.pdbqt,1.03085,100
HIT104510255.pdbqt,1.02948,100
HIT106942809.pdbqt,1.02908,100
HIT105179191.pdbqt,1.028,100
HIT104305610.pdbqt,1.02619,100
HIT102615161.pdbqt,1.02545,100
HIT105037172.pdbqt,1.02324,100
HIT102051965.pdbqt,1.02309,100
HIT102855868.pdbqt,1.02184,100
HIT104675176.pdbqt,1.02182,100
HIT100003398.pdbqt,1.02168,100
HIT104838934.pdbqt,1.02164,100
HIT104960088.pdbqt,1.02136,100
HIT100172112.pdbqt,1.01948,100
HIT102853802.pdbqt,1.01891,100
HIT105685316.pdbqt,1.01789,100
HIT101639291.pdbqt,1.01777,100
HIT105622459.pdbqt,1.01747,7.49043
HIT106123168.pdbqt,1.01657,100
HIT211719056.pdbqt,1.0164,100
HIT102295582.pdbqt,1.01554,100
HIT105286127.pdbqt,1.01439,6.54233
HIT103380623.pdbqt,1.01435,100
HIT101023489.pdbqt,1.01272,100
HIT100500935.pdbqt,1.01148,100
HIT104876585.pdbqt,1.0107,100
HIT107618920.pdbqt,1.00981,100
HIT102742629.pdbqt,1.00948,100
HIT104222405.pdbqt,1.00835,100
