standardized_smiles,rmsd,title_vina,Original_SMILES_vina,score_vina,title_glide,Original_SMILES_glide,score_glide,PharmFit_score
Cc1ccccc1CSc1nc2c(c(=O)[nH]1)C(C(=O)Nc1ccccc1)CC(=O)N2,1.448249543414393,HIT105321158.pdbqt,Cc1ccccc1CSc1nc2c(c(=O)[nH]1)C(C(=O)Nc1ccccc1)CC(=O)N2,-8.0,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3039,Cc1ccccc1CSc1nc2c(c(=O)[nH]1)[C@@H](C(=O)Nc1ccccc1)CC(=O)N2,-6.66645,2.21797
Cc1ccc(-n2c(=O)c3sc4ccccc4c3n(CC(=O)Nc3ccc(F)cc3F)c2=O)cc1F,2.231224577414192,HIT101327148.pdbqt,Cc1ccc(-n2c(=O)c3sc4ccccc4c3n(CC(=O)Nc3ccc(F)cc3F)c2=O)cc1F,-7.7,ligprep_chemdiv-stock1_01_400000_split-10_8.sdf:36401,Cc1ccc(-n2c(=O)c3sc4ccccc4c3n(CC(=O)Nc3ccc(F)cc3F)c2=O)cc1F,-6.0083,2.20051
CCOc1cc(C2CC(=O)Nc3nc(SCc4ccc(F)cc4)[nH]c(=O)c32)ccc1OC,0.6877843248431889,HIT106315584.pdbqt,CCOc1cc(C2CC(=O)Nc3nc(SCc4ccc(F)cc4)[nH]c(=O)c32)ccc1OC,-7.7,ligprep_chemdiv-stock1_02_400000_split-10_1.sdf:3260,CCOc1cc([C@H]2CC(=O)Nc3nc(SCc4ccc(F)cc4)[nH]c(=O)c32)ccc1OC,-6.46668,2.19105
COc1ccc(C(=O)Nc2cccc(SC3=C(Nc4ccc(C)c(C)c4)C(=O)N(c4ccc(F)cc4)C3=O)c2)cc1,1.8205415023973563,HIT104239852.pdbqt,COc1ccc(C(=O)Nc2cccc(SC3=C(Nc4ccc(C)c(C)c4)C(=O)N(c4ccc(F)cc4)C3=O)c2)cc1,-8.1,ligprep_chemdiv-stock1_04_414266_split-10_4.sdf:1307,COc1ccc(C(=O)Nc2cccc(SC3=C(Nc4ccc(C)c(C)c4)C(=O)N(c4ccc(F)cc4)C3=O)c2)cc1,-6.12501,2.18792
O=C1CC(C(=O)Nc2ccc(F)c(Cl)c2)c2c(nc(SCc3ccccc3F)[nH]c2=O)N1,1.985620597177996,HIT104928591.pdbqt,O=C1CC(C(=O)Nc2ccc(F)c(Cl)c2)c2c(nc(SCc3ccccc3F)[nH]c2=O)N1,-8.8,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3148,O=C1C[C@H](C(=O)Nc2ccc(F)c(Cl)c2)c2c(nc(SCc3ccccc3F)[nH]c2=O)N1,-6.78059,2.18684
O=C1CC(C(=O)Nc2ccc(F)cc2F)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,1.782728202195507,HIT102340045.pdbqt,O=C1CC(C(=O)Nc2ccc(F)cc2F)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,-8.7,ligprep_chemdiv-stock1_03_400000_split-10_2.sdf:3035,O=C1C[C@H](C(=O)Nc2ccc(F)cc2F)c2c(nc(SCc3ccccc3)[nH]c2=O)N1,-7.00424,2.17589
COc1ccc(N2C(=O)C(Nc3ccc(C)cc3)=C(Sc3cccc(NC(=O)c4ccc5c(c4)OCO5)c3)C2=O)cc1,1.5682318044157093,HIT102653229.pdbqt,COc1ccc(N2C(=O)C(Nc3ccc(C)cc3)=C(Sc3cccc(NC(=O)c4ccc5c(c4)OCO5)c3)C2=O)cc1,-7.7,ligprep_chemdiv-stock1_04_414266_split-10_3.sdf:36572,COc1ccc(N2C(=O)C(Nc3ccc(C)cc3)=C(Sc3cccc(NC(=O)c4ccc5c(c4)OCO5)c3)C2=O)cc1,-6.62742,2.16989
Cc1ccc2nc(-c3ccc(NC(=O)C4CCC(=O)N4C(=O)OCc4ccccc4)cc3)sc2c1,1.9308485402611388,HIT105459650.pdbqt,Cc1ccc2nc(-c3ccc(NC(=O)C4CCC(=O)N4C(=O)OCc4ccccc4)cc3)sc2c1,-8.0,ligprep_chemdiv-stock1_01_400000_split-10_4.sdf:23629,Cc1ccc2nc(-c3ccc(NC(=O)[C@@H]4CCC(=O)N4C(=O)OCc4ccccc4)cc3)sc2c1,-6.17349,2.15288
Cc1ccc(NC(=O)CN2C(=O)C(C(=O)N3CCCCC3)Sc3ccccc32)nc1,2.041394964478947,HIT105234159.pdbqt,Cc1ccc(NC(=O)CN2C(=O)C(C(=O)N3CCCCC3)Sc3ccccc32)nc1,-8.1,ligprep_chemdiv-stock1_03_400000_split-10_4.sdf:38754,Cc1ccc(NC(=O)CN2C(=O)[C@H](C(=O)N3CCCCC3)Sc3ccccc32)nc1,-6.07709,2.14788
COc1ccc(C(=O)N2CC(C(=O)NCc3ccccn3)C3(CCC3)C2)cn1,2.2057272833628887,HIT211742362.pdbqt,COc1ccc(C(=O)N2CC(C(=O)NCc3ccccn3)C3(CCC3)C2)cn1,-7.9,ligprep_chemdiv-stock1_04_414266_split-10_0.sdf:11936,COc1ccc(C(=O)N2C[C@@H](C(=O)NCc3ccccn3)C3(CCC3)C2)cn1,-6.68718,2.13239
